Provider_CCN,is_matched_hospital,Entity_Name,State,Individuals_Affected,Breach_Year,Main_Breach_Type,Main_Location,Business_Associate_Involved
050488,True,EDEN MEDICAL CENTER,CA,1474.0,2010,Theft,Other (Cloud/Portable Media),Yes
050030,True,OROVILLE HOSPITAL,CA,1474.0,2010,Theft,Other (Cloud/Portable Media),Yes
,False,"ST. VINCENT HOSPITAL AND HEALTH CARE CENTER, INC.",IN,1199.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,NEWYORK-PRESBYTERIAN HOSPITAL AND COLUMBIA UNIVERSITY MEDICAL CENTER,NY,6800.0,2010,Theft,Network Server,No
,False,ST. JAMES HOSPITAL AND HEALTH CENTERS,IL,967.0,2010,Improper Disposal,Paper Records,No
,False,"UNIVERSITY OF OKLAHOMA - TULSA, NEUROLOGY CLINIC",OK,19200.0,2010,Hacking/IT Incident,Physical Device (Workstation/Laptop),No
,False,"LORENZO BROWN, MD INC.",CA,928.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,JOSEPH A. GAGNON D/B/A GOLDTHWAIT ASSOCIATES,MA,11000.0,2010,Improper Disposal,Paper Records,Yes
,False,"DEBRA C. DUFFY, DDS",TX,4700.0,2010,Theft,Network Server,No
,False,"CUMBERLAND GASTROENTEROLOGY, P.S.C.",KY,2200.0,2010,Theft,Paper Records,No
,False,WESTMED MEDICAL GROUP,NY,578.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY (JHU/APL) MEDICAL AND DENTAL INSURANCE PLAN,MD,692.0,2010,Other/Unknown,Other (Cloud/Portable Media),No
,False,LONESTAR AUDIOLOGY GROUP,TX,585.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,UTAH DEPARTMENT OF WORKFORCE SERVICES,UT,1298.0,2010,Other/Unknown,Physical Device (Workstation/Laptop),Yes
,False,SW SEATTLE ORTHOPAEDIC AND SPORTS MEDICINE,WA,9493.0,2010,Hacking/IT Incident,Network Server,No
,False,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,AR,1000.0,2010,Theft,Other (Cloud/Portable Media),No
,False,ASPEN DENTAL CARE P.C.,CO,2500.0,2010,Theft,Other (Cloud/Portable Media),No
,False,"BLUECROSS BLUESHIELD OF TENNESSEE, INC.",TN,1023209.0,2010,Theft,Other (Cloud/Portable Media),No
050116,True,NORTHRIDGE HOSPITAL MEDICAL CENTER,CA,716.0,2010,Loss,Paper Records,No
,False,PUERTO RICO DEPARTMENT OF HEALTH - TRIPLE S MANAGEMENT CORP.,PR,475000.0,2010,Unauthorized Access/Disclosure,Network Server,Yes
,False,"AETNA, INC.",CT,2345.0,2010,Unauthorized Access/Disclosure,Network Server,No
,False,STA-HOME HEALTH & HOSPICE,MS,1104.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,MEDICAL CARD SYSTEM/MCS-HMO/MCS ADVANTAGE/MCS LIFE,PR,115000.0,2010,Unauthorized Access/Disclosure,Other (Cloud/Portable Media),Yes
,False,VNA OF SOUTHEASTERN CT.,CT,12000.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,"PRIME HOME CARE, LLC",NE,1550.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,VISITING NURSE SERVICE ASSOCIATION OF SCHENECTADY COUNTY,NY,535.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,"MANOR CARE INDY (SOUTH), LLC.",IN,845.0,2010,Unauthorized Access/Disclosure,Paper Records,No
,False,"ROBERT WHEATLEY, DDS, PC",MO,1400.0,2010,Theft,Physical Device (Workstation/Laptop),No
230053,True,HENRY FORD HOSPITAL,MI,3700.0,2010,Theft,Physical Device (Workstation/Laptop),No
100073,True,HOLY CROSS HOSPITAL,FL,1500.0,2010,Theft,Paper Records,No
,False,"TRIPLE-S SALUD, INC.",PR,398000.0,2010,Theft,Network Server,No
,False,"PROFESSIONAL TRANSCRIPTION COMPANY, INC.",NY,1744.0,2010,Theft,Network Server,Yes
050468,True,MEMORIAL HOSPITAL OF GARDENA,CA,771.0,2010,Unauthorized Access/Disclosure,Paper Records,No
37014F,True,OKLAHOMA CITY VA MEDICAL CENTER,OK,1950.0,2010,Theft,Paper Records,No
330202,True,KINGS COUNTY HOSPITAL CENTER,NY,542.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,UNIVERSITY OF TENNESSEE MEDICAL CENTER,TN,8200.0,2010,Improper Disposal,Paper Records,No
,False,ALBERT EINSTEIN HEALTHCARE NETWORK,PA,613.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,H.E.L.P. FINANCIAL CORPORATION,MI,9475.0,2010,Unauthorized Access/Disclosure,Paper Records,Yes
,False,ZARZAMORA FAMILY DENTAL CARE,TX,800.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,"GARY C. SPINKS, DMD, PC",MD,1000.0,2010,Hacking/IT Incident,Network Server,No
,False,HOSPITAL AUXILIO MUTUO,PR,1000.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,"GAIR MEDICAL TRANSCRIPTION SERVICES, INC.",PA,1085.0,2010,Unauthorized Access/Disclosure,Network Server,Yes
,False,COOK COUNTY HEALTH & HOSPITALS SYSTEM,IL,556.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,"DEAN HEALTH SYSTEMS, INC.; ST. MARY'S HOSPITAL; ST. MARYS DEAN VENTURES, INCORPORATED",WI,3288.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,RIVERSIDE MERCY HOSPITAL AND OHIO/MERCY DIAGNOSTICS,OH,1000.0,2010,Improper Disposal,Paper Records,No
,False,CALIFORNIA THERAPY SOLUTIONS,CA,1250.0,2010,Theft,Other (Cloud/Portable Media),No
,False,THE SOUTHWESTERN INDIANA REGIONAL COUNCIL ON AGING,IN,757.0,2010,Theft,Physical Device (Workstation/Laptop),Yes
,False,HILS TRANSCRIPTION,IN,585.0,2010,Unauthorized Access/Disclosure,Other (Cloud/Portable Media),Yes
390270,True,GEISINGER WYOMING VALLEY MEDICAL CENTER,PA,2928.0,2010,Theft,Email,No
,False,MANKATO CLINIC,MN,3159.0,2010,Theft,Physical Device (Workstation/Laptop),No
,False,"ZENITH ADMINISTRATORS, INC.",MD,800.0,2010,Theft,Paper Records,Yes
,False,OUR LADY OF PEACE HOSPITAL,KY,24600.0,2010,Theft,Other (Cloud/Portable Media),No
,False,"SOUTHERN PERIOPERATIVE SERVICES, P.C.",AL,2000.0,2010,Theft,Other (Cloud/Portable Media),No
,False,KEYSTONE/AMERIHEALTH MERCY HEALTH PLANS,PA,808.0,2010,Loss,Other (Cloud/Portable Media),No
,False,"ANKLE + FOOT CENTER OF TAMPA BAY, INC.",FL,156000.0,2011,Theft,Network Server,No
,False,OHIOHEALTH CORPORATION DBA GRANT MEDICAL CENTER,OH,501.0,2011,Theft,Physical Device (Workstation/Laptop),No
,False,"SEACOAST RADIOLOGY, PA",NH,231400.0,2011,Hacking/IT Incident,Network Server,No
,False,FRIENDSHIP CENTER DENTAL OFFICE,FL,2200.0,2011,Theft,Physical Device (Workstation/Laptop),No
,False,ST.VINCENT HOSPITAL - INDIANAPOLIS,IN,1848.0,2011,Hacking/IT Incident,Network Server,No
,False,CENTRA,VA,11982.0,2011,Theft,Physical Device (Workstation/Laptop),No
,False,FRANCISCAN MEDICAL GROUP,WA,1250.0,2011,Theft,Physical Device (Workstation/Laptop),No
,False,STATE OF SOUTH CAROLINA BUDGET AND CONTROL BOARD EMPLOYEE INSURANCE PROGRAM (EIP),SC,5596.0,2011,Theft,Physical Device (Workstation/Laptop),No
,False,TRAVIS SOFTWARE CORP.,TX,16200.0,2011,Loss,Other (Cloud/Portable Media),Yes
,False,LAKE WOODS NURSING & REHABILITATION CENTER,MI,656.0,2011,Theft,Physical Device (Workstation/Laptop),No
,False,J. A. STILL CORPORATION,MO,4800.0,2011,Theft,Other (Cloud/Portable Media),Yes
,False,"GRAYS HARBOR PEDIATRICS, PLLC",WA,12009.0,2011,Theft,Other (Cloud/Portable Media),No
,False,"HANGER PROSTHETICS & ORTHOTICS, INC.",TX,4486.0,2011,Theft,Physical Device (Workstation/Laptop),No
,False,BAYLOR HEART AND VASCULAR CENTER,TX,8241.0,2011,Theft,Other (Cloud/Portable Media),No
,False,"CHC MEMPHIS CMHC, LLC",TN,500.0,2011,Theft,Physical Device (Workstation/Laptop),No
,False,JEFFERSON CENTER FOR MENTAL HEALTH,CO,546.0,2011,Theft,Paper Records,No
,False,INTEGRANETICS,KY,18871.0,2011,Hacking/IT Incident,Network Server,Yes
,False,"ORTHO MONTANA, PSC",MT,37000.0,2011,Theft,Physical Device (Workstation/Laptop),No
,False,CANCER CARE NORTHWEST P.S.,WA,3100.0,2011,Theft,Paper Records,No
,False,SAINT LOUIS UNIVERSITY,MO,800.0,2011,Hacking/IT Incident,Physical Device (Workstation/Laptop),No
,False,GRM INFORMATION MANAGEMENT SERVICES,NJ,1700000.0,2011,Theft,Electronic Medical Record (EMR),Yes
,False,LONG BEACH MEMORIAL MEDICAL CENTER,CA,2250.0,2011,Unauthorized Access/Disclosure,Other (Cloud/Portable Media),No
