ccn,report_year,y_true,LogisticRegression_proba,LogisticRegression_pred,RandomForest_proba,RandomForest_pred,XGBoost_proba,XGBoost_pred,SV_proba,SVM_pred
340145,2021,0,0.253536,0,0.017837,0,0.01233,0,0.001148,0
340147,2021,0,0.684979,1,0.376135,0,0.178517,0,0.014776,0
340148,2021,0,0.54268,1,0.037111,0,0.001801,0,0.00137,0
340151,2021,0,0.663102,1,0.200787,0,0.081988,0,0.135747,1
340155,2021,0,0.716999,1,0.28474,0,0.114787,0,0.094181,1
340156,2021,0,0.771909,1,0.398481,0,0.415253,0,0.010761,0
340158,2021,0,0.394906,0,0.0543,0,0.087557,0,0.004027,0
340159,2021,0,0.561637,1,0.087723,0,0.132159,0,0.056819,1
340166,2021,0,0.264589,0,0.055779,0,0.006232,0,0.004303,0
340168,2021,0,0.139773,0,0.046452,0,0.018768,0,1.2e-05,0
340171,2021,0,0.423679,0,0.009676,0,0.005383,0,0.002354,0
340173,2021,0,0.69659,1,0.131025,0,0.040379,0,0.367825,1
340183,2021,0,0.32689,0,0.022746,0,0.002854,0,0.004181,0
340184,2021,0,0.61522,1,0.070883,0,0.053993,0,0.065868,1
340186,2021,0,0.119604,0,0.085187,0,0.020208,0,0.003091,0
340187,2021,0,0.085284,0,0.018553,0,0.001489,0,2.9e-05,0
340188,2021,0,0.471031,0,0.15737,0,0.109662,0,0.000546,0
340190,2021,0,0.075298,0,0.035444,0,0.014127,0,0.000157,0
341303,2021,0,0.081514,0,0.089506,0,0.006565,0,0.003756,0
341304,2021,0,0.325978,0,0.26939,0,0.057684,0,0.000239,0
341305,2021,0,0.268335,0,0.078068,0,0.054615,0,0.001048,0
341307,2021,0,0.581425,1,0.285952,0,0.055603,0,0.000619,0
341311,2021,0,0.333667,0,0.127741,0,0.078505,0,0.017418,0
341314,2021,0,0.358953,0,0.121216,0,0.070373,0,0.001835,0
341315,2021,0,0.406088,0,0.307513,0,0.484945,0,0.006179,0
341316,2021,0,0.418563,0,0.268006,0,0.067673,0,0.000548,0
341317,2021,0,0.514023,1,0.193258,0,0.025205,0,0.000782,0
341318,2021,0,0.648378,1,0.303295,0,0.093576,0,0.043746,1
341319,2021,0,0.403933,0,0.227369,0,0.331376,0,0.003396,0
341320,2021,0,0.442279,0,0.364943,0,0.165364,0,0.002123,0
341322,2021,0,0.265269,0,0.31288,0,0.140665,0,0.000735,0
341323,2021,0,0.345354,0,0.293411,0,0.10487,0,6.8e-05,0
341324,2021,0,0.568921,1,0.109466,0,0.024524,0,0.00025,0
341325,2021,0,0.387833,0,0.262774,0,0.138998,0,0.005618,0
341326,2021,0,0.363712,0,0.111155,0,0.056952,0,0.002455,0
341327,2021,0,0.453372,0,0.31466,0,0.120276,0,0.025513,0
341328,2021,0,0.898423,1,0.224057,0,0.10825,0,0.002388,0
341329,2021,0,0.373708,0,0.146343,0,0.063027,0,0.001005,0
342012,2021,0,0.03034,0,0.001218,0,0.002458,0,8.4e-05,0
342013,2021,0,0.03196,0,0.000818,0,0.001813,0,7e-06,0
342014,2021,0,0.041441,0,0.029268,0,0.004936,0,0.000154,0
342015,2021,0,0.03304,0,0.000459,0,0.002797,0,9.7e-05,0
342017,2021,0,0.036889,0,0.001747,0,0.001246,0,0.000162,0
342018,2021,0,0.000136,0,0.000712,0,0.002874,0,7.9e-05,0
342020,2021,0,0.000138,0,0.001911,0,0.001466,0,0.000103,0
342021,2021,0,0.061627,0,0.00159,0,0.002079,0,0.000651,0
343025,2021,0,0.051763,0,0.072021,0,0.002584,0,0.001994,0
343026,2021,0,0.037124,0,0.042964,0,0.009071,0,0.00012,0
343027,2021,0,0.026697,0,0.018564,0,0.006325,0,3e-06,0
344004,2021,0,0.001727,0,0.022969,0,0.00379,0,0.000228,0
344007,2021,0,0.163159,0,0.004674,0,0.001435,0,0.002539,0
344014,2021,0,0.186443,0,0.012323,0,0.001424,0,0.00018,0
344016,2021,0,0.002549,0,0.002885,0,0.001828,0,1e-06,0
344023,2021,0,0.002514,0,0.023704,0,0.002327,0,3.8e-05,0
344025,2021,0,0.002157,0,0.014809,0,0.005841,0,4.9e-05,0
344026,2021,0,0.000915,0,0.045681,0,0.020716,0,5.3e-05,0
344027,2021,0,0.000117,0,0.000684,0,0.000731,0,2.5e-05,0
344028,2021,0,0.000117,0,0.007918,0,0.001104,0,4.6e-05,0
344029,2021,0,0.001337,0,0.063946,0,0.024162,0,0.003275,0
344030,2021,0,0.271558,0,0.031516,0,0.024408,0,0.00196,0
