Facility ID,State,Hospital_Type,Birthing_Center,Emergency_Services,Hospital_Ownership,Hospital_Rating,MORT_Participation,Safety_Participation,READM_Participation,PtExp_Participation,TE_Participation,Engagement_Index,Domains_Reporting,MORT_Better,MORT_Worse,Safety_Better,Safety_Worse,READM_Better,READM_Worse,Net_Performance_Score,Net_Performance_Rate,Performance_Ratio
010131,AL,Acute Care,1,1,For-Profit,2.0,0.8571428571428571,0.875,0.7272727272727273,1.0,0.75,0.8418831168831169,5,0.0,0.0,0.14285714285714285,0.14285714285714285,0.125,0.125,0.0,0.0,0.09523809523809523
010138,AL,Acute Care,0,1,Government,,0.0,0.0,0.0,0.0,0.3333333333333333,0.06666666666666667,1,,,,,,,0.0,,
010139,AL,Acute Care,1,1,For-Profit,2.0,1.0,0.875,0.7272727272727273,1.0,0.8333333333333334,0.8871212121212121,5,0.0,0.0,0.14285714285714285,0.0,0.0,0.25,-1.0,-0.045454545454545456,0.045454545454545456
010144,AL,Acute Care,1,1,For-Profit,2.0,1.0,1.0,0.8181818181818182,1.0,0.8333333333333334,0.9303030303030303,5,0.0,0.0,0.375,0.0,0.0,0.3333333333333333,0.0,0.0,0.125
010148,AL,Acute Care,0,1,For-Profit,2.0,0.42857142857142855,0.0,0.45454545454545453,1.0,0.6666666666666666,0.5099567099567099,4,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
010149,AL,Acute Care,1,1,Government,4.0,0.7142857142857143,0.875,0.5454545454545454,1.0,0.75,0.7769480519480519,5,0.0,0.0,0.2857142857142857,0.0,0.0,0.16666666666666666,1.0,0.05555555555555555,0.1111111111111111
01014F,AL,Acute Care,0,1,Government,5.0,0.7142857142857143,0.5,0.5454545454545454,1.0,0.5,0.6519480519480519,5,0.4,0.0,0.0,0.0,0.0,0.0,2.0,0.13333333333333333,0.13333333333333333
010150,AL,Acute Care,0,1,For-Profit,,0.14285714285714285,0.25,0.2727272727272727,0.0,0.6666666666666666,0.26645021645021644,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010157,AL,Acute Care,0,1,For-Profit,,0.0,0.25,0.18181818181818182,0.0,0.5,0.18636363636363637,3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010158,AL,Acute Care,0,1,For-Profit,2.0,0.2857142857142857,0.375,0.5454545454545454,1.0,0.6666666666666666,0.5745670995670995,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010164,AL,Acute Care,1,1,Government,3.0,0.42857142857142855,0.375,0.7272727272727273,1.0,0.9166666666666666,0.6895021645021645,5,0.0,0.0,0.3333333333333333,0.0,0.0,0.125,0.0,0.0,0.07142857142857142
010168,AL,Acute Care,0,1,Government,,0.0,0.25,0.36363636363636365,1.0,0.6666666666666666,0.45606060606060606,4,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010169,AL,Acute Care,0,1,Government,,0.2857142857142857,0.25,0.36363636363636365,1.0,0.6666666666666666,0.5132034632034632,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
010173,AL,Acute Care,0,1,Non-Profit,,0.14285714285714285,0.25,0.2727272727272727,1.0,0.6666666666666666,0.46645021645021645,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01019F,AL,Acute Care,0,1,Government,5.0,0.42857142857142855,0.125,0.36363636363636365,1.0,0.3333333333333333,0.4501082251082251,5,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.25,0.25
01021F,AL,Acute Care,0,0,Government,,0.0,0.0,0.0,0.0,0.16666666666666666,0.03333333333333333,1,,,,,,,0.0,,
010779,AL,Rural/Access,0,1,For-Profit,,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,0.0,,
